"lot","internal_id","title","description","category","snapshot_bid_usd","photo_count","close_utc","indicative_resale_low_usd","indicative_resale_high_usd","conditional_max_hammer_usd","risk_flags","review_note","review_status","first_photo_url","photo_review_status","photo_findings","photo_review_sheet","historical_unverified_resale_low_usd","historical_unverified_resale_high_usd","historical_unverified_max_hammer_usd","market_research_status","market_evidence_urls","market_research_notes","market_research_date_utc","priority"
"30-1332","1799881","5 boxes of truck and equipment lights, grommets, etc","5 boxes of truck and equipment lights, grommets, etc","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/68584d177d94b3975ad1/large","Inspected (contact sheet)","Five cartons of mixed truck/equipment lamps, amber lenses, rubber grommets and boxed lighting parts. Many mixed or older packages; sort by part number and check whether lenses/bulbs are complete.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18100","1705100","Set of scaffolding, including (17) 60"" x 60"" upright, approx. (25) individual approx. 8' cross brace...","Set of scaffolding, including (17) 60"" x 60"" upright, approx. (25) individual approx. 8' cross braces, (10) various wood plates ranging in size between 8' and approx. 16' long, (1) 28"" x 72"" wood plank, and miscellaneous other equipment.","General industrial surplus","5","6","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/950b384e773e7bcce024/large","All originals inspected 2026-09-25 (personal-use pass)","All 6 originals viewed 2026-09-25: stacked red-brown scaffold frames, long weathered wood planks and mixed feet/brackets in wood box. No close-up of pins or plank underside; inspect matching frame locks, plank integrity and hauling volume.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18101","1705101","(1) 12' length x 8' height steel cantilever rack with contents of assorted flat stock, rectangular b...","(1) 12' length x 8' height steel cantilever rack with contents of assorted flat stock, rectangular bar stock, C-channel, steel tube, solid round stock, rebar, and miscellaneous other metals, winning bidder responsible for proper disassembly and removal.","Bulk materials and racking","5","9","2026-09-29T22:00:00Z","","","","Removal/loading","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/55fca3457791cf2e3463/large","Inspected (contact sheet)","Long cantilever rack loaded with varied structural steel flats, rectangular stock, channels and long offcuts. Heavy handling; verify rack anchorage, beam straightness and whether all stock is included.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18102","1705102","Large lot of assorted scrap steel, includes various angle, various sizes of pipe, solid cut offs, C-...","Large lot of assorted scrap steel, includes various angle, various sizes of pipe, solid cut offs, C-channel, steel grate, and miscellaneous other items, winning bidder responsible for proper removal.","Bulk materials and racking","5","7","2026-09-29T22:00:00Z","","","","Removal/loading","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/460833fbcbb9faeddb44/large","Inspected (contact sheet)","Dense mixed scrap-steel lot with pipe, angle, long rods, short cutoffs and irregular pieces along wall. Condition varies; quantify weight and loading effort before treating as usable stock rather than scrap.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18103","1705103","(1) 65"" length x 33"" height x 30"" depth wood work bench with assorted scrap steel, steel cuts, plate...","(1) 65"" length x 33"" height x 30"" depth wood work bench with assorted scrap steel, steel cuts, plate steel, and miscellaneous other items, winning bidder responsible for proper removal.","Bulk materials and racking","5","9","2026-09-29T22:00:00Z","","","","Removal/loading","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/2057903e80f8f0892f6d/large","All originals inspected 2026-09-25 (personal-use pass)","All 9 originals viewed 2026-09-25: heavy steel workbench with mixed short and long steel offcuts, plate and large circular steel discs; extra standing steel/plate appears included per catalog only. Rust/dust; verify exact included pieces, weight and loading.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18104","1705104","(1) 48"" length x 34.5"" height x 24"" depth, 2-tier steel cart, (1) plastic step stool, (1) 26"" length...","(1) 48"" length x 34.5"" height x 24"" depth, 2-tier steel cart, (1) plastic step stool, (1) 26"" length x 5"" height x 11"" depth steel cart, (1) approx. 86"" tall light stand, and (1) custom built 24"" tall shop stool with a 16"" diameter top.","Bulk materials and racking","100","6","2026-09-29T22:00:00Z","","","","","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/2879d22bb6b7068cb6c8/large","Inspected (contact sheet)","Heavy welded steel worktable with lower shelf, attached upright arm and small box/tray; miscellaneous nearby items may not be included. Surface dirty with apparent wear; check welds, stability, dimensions and whether upright is removable.","Temporary GitHub Actions artifact; visual-review-batch-06-partial.md","","","","Not researched","","","","Low"
"18105","1705105","Lot including (1) Lisle Jeepers Creepers, and (1) Pro Gear automotive creeper, and (2) approx. 6-ton...","Lot including (1) Lisle Jeepers Creepers, and (1) Pro Gear automotive creeper, and (2) approx. 6-ton capacity jack stands.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Both creepers and a pair of heavily used jack stands are pictured. Creeper covers and casters look worn; the stands have visible oxidation. Test casters and physically inspect stand welds, pins and labels before loading.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/139062a0dec7a1036c4e/large","40-lot verified batch 01: contact sheet reviewed","Both creepers and a pair of heavily used jack stands are pictured. Creeper covers and casters look worn; the stands have visible oxidation. Test casters and physically inspect stand welds, pins and labels before loading.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","45","120","20","Not researched","","","","Low"
"18106","1705106","(1) Crewline automotive creeper with (2) approx. 6-ton capacity jack stands.","(1) Crewline automotive creeper with (2) approx. 6-ton capacity jack stands.","General industrial surplus","5","4","2026-09-29T22:00:00Z","","","","Safety inspection","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/356a0796802f76166264/large","All originals inspected 2026-09-25 (personal-use pass)","All 4 originals viewed 2026-09-25: blue Crewline padded creeper and two orange triangular jack stands; padded vinyl is scuffed/creased and frame scratched. Stand safety cannot be certified from photos; inspect rating, welds, ratchet pawls and pins.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18107","1705107","(2) NAPA Blue-Comfort, item #BK 815-6219, automotive creepers.","(2) NAPA Blue-Comfort, item #BK 815-6219, automotive creepers.","General industrial surplus","5","4","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/cba191df30077fe82dfb/large","Inspected (contact sheet)","Two blue NAPA Blue-Comfort creepers, both visibly used with scuffs and worn edges; wheel hardware and padding integrity unverified.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18108","1705108","(1) make and model unknown automotive creeper with a 30"" length x 33"" height x 16"" depth, 2-tier ser...","(1) make and model unknown automotive creeper with a 30"" length x 33"" height x 16"" depth, 2-tier service cart with drawer.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/85f5e2745cadddc08707/large","Inspected (contact sheet)","Low red/black mechanic creeper and small two-tier rolling metal service cart; cart has drawer and lower shelf. Scuffs and shop dirt; verify casters, drawer and creeper rollers.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
