lot,title,priority,photo_count,photo_review_status,source_photo_url,existing_photo_findings,market_research_status,required_next_checks,historical_unverified_low_usd,historical_unverified_high_usd,researched_low_usd,researched_high_usd,researched_max_hammer_usd
18110,"(1) Blue Point 30"" width x 32"" height x 16"" depth, 2-tier steel shop cart, and (1) Blue Point 30"" le...",High,9,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/67e94e19779bbc513582/large,"Both Blue Point shop carts are present: an open two-tier cart and a four-drawer rolling unit with fold-out tray. Trays and lower compartments show grime, chipped paint and surface oxidation. Photograph contents may belong to other lots; test drawers, locks and casters.",Not researched,"Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",175,440,,,
18114,"(1) Hobart, model 6-261, portable, tow-behind generator (250 amp, 40V), HP illegible, S/N 120W-45251...",High,13,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/45254336113cb53992b3/large,"Large older Hobart 250-amp towable welding generator on a heavy homemade-looking chassis with four-cylinder gas engine, pintle hitch, toolbox and large cable loops. Controls, generator badge and engine are visible, but all surfaces heavily dusty and rusty; tire age and trailer registration unknown. Do not bid beyond parts-level without cold start, measured output, sound weld test and transport arrangements.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",500,1450,,,
18115,"(1) gas powered 20"" x 16"" compactor with a Honda GX140, 5 HP gas engine, engine pulls through and ha...",High,5,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/61f5d58e192ea7e82abe/large,Dusty Honda GX140 motor mounted to a circular compactor/base; paint is heavily worn. A large separate object alongside it is not necessarily included. Pull-through/compression alone does not establish compaction function; test eccentric and clutch.,Not researched,"Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,330,,,
18118,"(1) Ramco Shop Hand 5000, 5000 lb. capacity engine hoist with extendable arm, and RM8000 long ram ja...",High,7,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/6df141850ebf2aa14f85/large,"Ramco Shop Hand 5000 frame and red long-ram jack are present. Paint and chain show wear, but no major frame bend is apparent in reduced-size photos. Test hydraulic hold, hooks, frame welds and caster movement.",Not researched,"Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",170,365,,,
18122,"(1) 22"" width x 34"" height x 30"" depth steel tool box with assorted hand tools, includes adjustable ...",High,8,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/92f2f49ae39079b5871f/large,"Used metal multi-drawer mechanics tool chest/cabinet containing mixed large wrenches, sockets, pry bars, hammers and miscellaneous tools; red stand with fluid bottle and separate crate also pictured. Cabinet finish worn; verify lot boundaries, drawer slides and individual tool brands before assigning resale.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18123,"(1) Miller, model AED-200LE, constant current AC/DC arc welder/generator, S/N JH202466 (120/240V-5 K...",High,10,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/cd76125f5a383defb445/large,"Miller AEAD-200LE engine-driven welder is visibly dusty but appears to have heavy electrode cables and its Onan motor. No evidence of running or welding output; test Onan cold start, 120/240V and AC/DC weld current before more than a speculative bid.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",320,760,,,
18124,"(1) Miller, Millermatic 300, 3 phase MIG welder power source with Tweco MIG gun (no tank).",High,6,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/3c5abad3d85675fd6bb0/large,"Blue Miller Millermatic 300 power source with Tweco MIG hose and cart appears generally assembled but dusty, with worn faceplate and no illuminated test. Nameplate explicitly marks three-phase input; tank is absent per catalog and this is not plug-and-play for a typical home garage. Inspect input taps, wire feed and gun lining; 3-phase greatly limits casual resale.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,360,,,
18125,"(1) Lincoln Ideal Arc 250 arc welder, 230-460V input, S/N AC390125, working condition unknown, inclu...",High,8,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/212ff48ddb96b7b852cb/large,"Heavy red Lincoln Idealarc 250 transformer stick welder on caster base includes long leads and electrode holder. Photos reveal aged, rubbed cables and dirty front control but no glaring enclosure break. Check nameplate/input configuration, correct voltage, insulation and measured weld output before personal use or resale.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",170,430,,,
18126,"(1) make and model unknown portable engine hoist with a RM8000 long Ram jack, and extendable hoist.",High,7,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/407385c6985e3739a320/large,"Portable red/blue folding engine hoist with extendable telescoping boom, four-wheeled legs and RM8000 long-ram jack looks complete; visible chains/hook have wear. Check welds, boom holes/pins, jack hydraulic holding pressure and caster play; visually assembled is not proof of 8000-pound lifting capacity.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",150,390,,,
18127,"(1) oxygen/acetylene torch cart set up with approx. 20' of hose, built-in tool box, approx. 16"" diam...",High,3,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/e92d4897cb04bb3d269c/large,Green tall cylinder and a silver vessel/holder appear on the cart with gauges and hoses. Catalog states oxygen cylinder only; verify identity and legal ownership of every vessel and pressure-test regulators and old hoses.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",75,200,,,
18130,"(1) Miller Dimension 650 CC/CV/DC arc welding power source, S/N KF790082, 230/460/575V, 3 phase inpu...",High,11,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/77320c933d62090896af/large,"Miller Dimension 650 industrial welder with separate Miller 24V wire feeder, torch/cables and tall cylinder pictured; nameplate indicates three-phase 230/460/575V input. No power-on or welding test, cylinder ownership or gas contents verified. Heavy transport, correct three-phase supply and consumable condition materially affect value.",Not researched,"Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18134,"Lot including (1) approx. 20 gallon capacity grease can with 4-wheel base, and a Lincoln Engineering...",High,4,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/170f3073ee3a90727ddb/large,"Red wheeled pressure-lubrication/grease dispensing vessel with long hose and Kendall pail pictured. Dirty, aged hoses and fittings; pressure rating, contents and pump operation unknown. Do not pressurize before inspection.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18138,"(1) Stihl, model unknown, gas powered 14"" concrete saw, engine pulls through and has compression, wo...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/79ef331fc0bb2b6f58ff/large,"Stihl cut-off saw is visibly very dusty and hard-used with a full guard, pull-start assembly and cutter in photos. Exact model remains unconfirmed; verify cold start and engine before applying working-saw resale scenarios.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",165,400,,,
