lot,item_number,internal_id,current_bid,bid_count,photo_count,status,live_status,end_time,title
1,1-1,1779301,405,48,42,1,0,1790118000,"2009 Chevrolet Impala LT Sedan V6 engine, automatic transmission, cloth interior, dual-zone automati..."
2,1-2,1779302,775,13,22,1,0,1790118000,"Toyota 52-6FGCU30 LP Gas Cushion-Tire Forklift, 3,800 lb. capacity @ 20"" load center (3,500 lb. @ 24..."
3,1-3,1779303,5,1,3,1,0,1790118000,"Lift-Rite Lot of (2) Electric Walkie Pallet Truck — Battery-powered walkie pallet truck, onboard bat..."
7,1-7,1779307,425,5,23,1,0,1790118000,"Hyster S120FTPRS LP Gas Cushion-Tire Forklift, 42"" carriage, DuraMatch transmission, multi-function ..."
9,1-9,1779309,405,3,20,1,0,1790118000,"Yale GLC120MJNGAE100 LP Gas Cushion-Tire Forklift w/ PRS Aux Counterweight + 42"" Carriage, 22x12x16 ..."
12,1-12,1779312,405,3,19,1,0,1790119800,"Toyota 8FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 21x7x15 solid f..."
14,1-14,1779314,255,3,23,1,0,1790119800,"Toyota 8FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 21x7x15 solid f..."
16,1-16,1779316,255,3,27,1,0,1790119800,"Toyota 8FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 21x7x15 solid f..."
17,1-17,1779317,405,3,25,1,0,1790119800,"Toyota 7FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 21x7x15 solid f..."
18,1-18,1779318,510,5,25,1,0,1790119800,"Toyota 8FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 21x7x15 solid f..."
19,1-19,1779319,510,5,29,1,0,1790119800,"Toyota 6FGCU20 LP Gas Cushion-Tire Forklift w/ Side-Shifter, LP mast type, 35"" front tread, 21x7x15 ..."
23,1-23,1779322,105,2,16,1,0,1790121600,"Yale GLC050VXNVSE083 LP Gas Cushion-Tire Forklift, sit-down rider, 21x7x15 cushion front tires / 16x..."
24,1-24,1779323,100,1,15,1,0,1790121600,"Yale NR045EANM36TE119 Electric Stand-Up Rider Reach Truck, AC power, dual mast w/ wire mesh overhead..."
25,1-25,1779324,100,1,8,1,0,1790121600,"Toyota 7HBW23 Electric Walkie Pallet Truck w/ tiller handle control, keypad start, 24V DC electric s..."
27,1-27,1779326,110,3,18,1,0,1790121600,"Toyota 7FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 35"" front tread..."
28,1-28,1779327,105,2,22,1,0,1790121600,"Hyster S50FT LP Gas Cushion-Tire Forklift ""Fortis 50"" w/ sideshifter, overhead guard, 21x7x15 cushio..."
29,1-29,1779328,110,3,18,1,0,1790121600,"Toyota 7FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 35"" front tread..."
30,1-30,1779329,110,3,21,1,0,1790121600,"Toyota 7FGCU25 LP Gas Cushion-Tire Forklift w/ Side-Shifter, FSV mast, 5° back tilt, 35"" front tread..."
31,1-31,1779330,110,3,19,1,0,1790121600,"Toyota 7FGCU25 (unconfirmed) LP Gas Cushion-Tire Forklift w/ Side-Shifter, similar spec to other 7FG..."
32,1-32,1779331,55,5,11,1,0,1790121600,"Electrical: 460V / 3-Phase / 60Hz, Min. Circuit Ampacity 16A, Max. Protective Device Rating 20A Max..."
9774,1-9774,1808173,5,0,18,1,0,1791327600,"(1) John Deere 7000 6-row planter, dry fertilizer, row markers"
9784,1-9784,1808141,50,0,10,1,0,1791325800,"(1) Kicker wagon with Kory 6278 tandem running gear, 18'"
9793,1-9793,1808150,5,0,8,1,0,1791325800,(1) Vintage bottom plow on steel wheels
9796,1-9796,1808153,5,0,10,1,0,1791327600,"(1) Kuhn GA4101GT Hay Rake, 540 PTO, SN 950086"
9893,1-9893,1808101,100,0,20,1,0,1791324000,"John Deere 4010 Tractor Diesel, narrow front, 3 PT, PTO, one remote, 15.5-38 rear tires, 4102 hours ..."
9894,1-9894,1808102,5,0,5,1,0,1791324000,"(1) Bush hog SQ84T Brush Hog, 84"" 3 PT, SN: 12-02930"
9895,1-9895,1808103,100,0,26,1,0,1791324000,"John Deere 3010 Tractor Diesel, narrow front, 3 PT, no top link, PTO, one remote, 13.9-36 rear tires..."
9896,1-9896,1808104,100,0,22,1,0,1791324000,"John Deere 3010 Tractor Diesel, narrow front, 3 PT, no top link, PTO, one remote, 225 hours showing,..."
9897,1-9897,1808105,100,0,40,1,0,1791324000,"John Deere 6400 Tractor with John Deere 640 Loader, MFWD, Cab, 86"" bucket, 3 PT, no top link, PTO, t..."
9898,1-9898,1808106,100,0,25,1,0,1791324000,"John Deere 4400 Tractor Diesel, 4WD, Sync reverser, commercial 60"" mower deck, 3PT, PTO, two remotes..."
9899,1-9899,1808107,100,0,18,1,0,1791324000,"John Deere 3010 Tractor Diesel, narrow front, 3 PT, PTO, one remote, 15.5-38 rear tires, 3941 hours ..."
9900,1-9900,1808108,5,0,7,1,0,1791324000,"(1) King Kutter II TG-60-Y Rototiller, 60"", 3PT, all gear driven, SN LV44005141580"
9901,1-9901,1808109,100,0,21,1,0,1791324000,"John Deere 40 Tractor Gas, narrow front, 3 PT, PTO, 11.2-34 rear tires, SN 62429"
