lot,item_number,internal_id,current_bid,bid_count,photo_count,status,live_status,end_time,end_time_utc,offer_end_time,offer_end_time_utc,title
9926,1-9926,1738248,30,7,7,2,0,1790121819,2026-09-23T00:03:39Z,,,"(1) Netafim 12"" center, double hung irrigation line, 200' long, winning bidder responsible for prope..."
9927,1-9927,1738249,25,5,4,2,0,1790122175,2026-09-23T00:09:35Z,,,"Approx. (125) Chapin drippers, on only, different lengths up to approx. 24""."
9928,1-9928,1738250,40,8,4,2,0,1790122193,2026-09-23T00:09:53Z,,,"Lot of (200) Chapin 24"" long on/off drops."
9929,1-9929,1738251,40,8,4,2,0,1790122250,2026-09-23T00:10:50Z,,,"Lot of (350) Chapin on/off 18"" drippers."
9930,1-9930,1738252,50,11,4,2,0,1790122818,2026-09-23T00:20:18Z,,,"Lot of (400) Chapin on/off 18"" drippers."
9931,1-9931,1738253,20,4,4,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim 120' long piece of irrigation pipe with 20"" on center drops."
9932,1-9932,1738254,20,4,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim 120' long piece of irrigation pipe with 20"" on center drops."
9933,1-9933,1738255,20,4,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim 120' long piece of irrigation pipe with 20"" on center drops."
9934,1-9934,1738256,20,4,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim 120' long piece of irrigation pipe with 20"" on center drops."
9935,1-9935,1738257,35,8,6,2,0,1790121867,2026-09-23T00:04:27Z,,,"(2) Netafim 120' long piece of irrigation pipes with 20"" on center drops."
9936,1-9936,1738258,40,10,7,2,0,1790122847,2026-09-23T00:20:47Z,,,"(2) Netafim 120' long piece of irrigation pipes with 20"" on center drops."
9937,1-9937,1738259,25,5,8,2,0,1790121600,2026-09-23T00:00:00Z,,,"(2) Netafim 120' long piece of irrigation pipes with 20"" on center drops."
9938,1-9938,1738260,35,7,6,2,0,1790122628,2026-09-23T00:17:08Z,,,"Lot of (2) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9939,1-9939,1738261,70,16,6,2,0,1790124306,2026-09-23T00:45:06Z,,,"Lot of (2) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9940,1-9940,1738262,90,19,7,2,0,1790122994,2026-09-23T00:23:14Z,,,"Lot of (4) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9941,1-9941,1738263,50,10,8,2,0,1790121923,2026-09-23T00:05:23Z,,,"Lot of (4) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9942,1-9942,1738264,90,19,10,2,0,1790122881,2026-09-23T00:21:21Z,,,"Lot of (4) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9943,1-9943,1738265,90,19,10,2,0,1790122951,2026-09-23T00:22:31Z,,,"Lot of (4) Netafim irrigation line, 135' long per roll, 20"" on center drops."
9944,1-9944,1738266,70,15,7,2,0,1790121789,2026-09-23T00:03:09Z,,,"(1) Netafim Irrigation System, (2) 96' lines with valves, includes drops, irrigation line is 1 year ..."
9945,1-9945,1738267,40,8,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim Irrigation System, (2) 96' lines with valves, includes drops, irrigation line is 1 year ..."
9946,1-9946,1738268,45,10,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim Irrigation System, (2) 96' lines with valves, includes drops, irrigation line is 1 year ..."
